CC,vocabulary,length,difficulty,effort,time,mi_index,LOC,loops,comparisons,variables,string_literals,numeric_literals,math_operations,Maxnested_blocks,unique_words,false,none,true,and,as,assert,async,await,break,class,continue,def,del,elif,else,except,finally,for,from,global,if,import,in,is,lambda,nonlocal,not,or,pass,print,raise,return,try,while,with,yield,accuracy
12,18,50,8.25,1720.0940630949538,95.56078128305299,70.131218754836,33,2,6,8,0,27,10,2,12,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,2,0,0,5,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,1
2,9,11,1.5,52.303762523798156,2.905764584655453,88.58439883319821,18,1,0,2,0,1,5,3,16,0,0,0,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,1,0,0,1
2,5,6,0.5,6.965784284662087,0.3869880158145604,93.91531351069978,7,1,0,3,3,5,2,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1
5,19,40,4.642857142857143,788.9008239252373,43.827823551402076,85.361944792307,16,3,1,6,0,16,11,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1
8,22,32,4.666666666666667,665.9417883831698,36.99676602128721,84.56825795553179,18,2,0,5,0,14,3,2,16,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3,1,1,0,0,0,1,0,0,0,0,2,0,1,0,0,1
6,15,26,4.0,406.31662194328595,22.573145663515888,79.64723666043925,18,1,4,8,10,4,1,2,17,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5,18,24,3.076923076923077,307.9329231834323,17.107384621301794,76.66044305093037,23,2,0,12,10,4,3,3,25,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,2,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1,20,42,3.5,635.3234299484424,35.295746108246796,70.23752951470915,17,1,3,5,14,17,11,3,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1
3,17,20,2.7083333333333335,221.4042372343934,12.300235401910745,74.13522894986566,25,2,1,4,1,11,2,2,17,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,2,0,0,1
4,5,5,1.0,11.60964047443681,0.6449800263576005,95.47084259448434,14,1,0,3,0,14,0,2,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1
4,17,33,2.357142857142857,317.94621672297285,17.663678706831824,81.13527340829154,16,2,0,7,0,12,9,3,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
4,6,6,1.0,15.509775004326936,0.861654166907052,93.72491071520861,15,2,0,7,1,7,1,3,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1
7,20,29,5.115384615384615,641.1414100761752,35.61896722645418,80.1797309535821,24,3,2,12,4,7,7,2,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,3,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1,11,12,2.2857142857142856,94.88726725405158,5.27151484744731,92.28954483285573,13,0,0,4,0,17,5,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5,16,39,4.333333333333333,676.0,37.55555555555556,77.26005702449801,16,1,3,4,0,15,10,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1
3,13,27,4.0,399.64748955923795,22.202638308846552,92.09407416110486,11,2,0,4,1,9,9,2,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2,9,9,1.5,42.793987519471216,2.377443751081734,77.22946868606094,39,0,0,7,0,5,1,2,20,0,3,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,1,5,0,0,0,0,1
4,4,6,2.0,24.0,1.3333333333333333,93.46371280811483,15,2,2,3,0,8,0,2,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1
4,26,29,4.222222222222222,575.5427299323871,31.97459610735484,75.23749558874144,27,1,1,6,8,5,3,3,18,1,0,2,1,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,4,0,4,0,0,0,2,0,0,0,0,5,0,0,0,0,1
11,30,53,6.0,1560.391209403509,86.68840052241717,78.47431038051246,31,7,3,15,0,40,3,4,22,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,4,0,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0
4,29,39,2.5,473.65314702493833,26.314063723607685,84.68455763514066,17,0,0,2,0,7,5,2,16,0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
3,23,39,4.588235294117647,809.4514982544373,44.969527680802074,71.85338821368639,32,4,2,14,0,25,14,4,26,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,2,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,1
5,11,11,2.0,76.10749561002055,4.228194200556697,94.34387517551801,11,2,0,4,0,11,2,3,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,1
2,14,18,1.6363636363636365,112.14390861333307,6.23021714518517,83.7355086256424,16,1,0,7,0,15,6,2,16,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1
5,33,82,4.821428571428571,1994.3372464749314,110.79651369305174,76.67832546313714,33,3,0,10,0,60,15,9,20,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,1,0,3,0,0,0,2,1,0,0,0,2,0,0,0,0,1
